Fact_Check_Link,Tweet_Topic
https://www.altnews.in/11-year-old-video-shared-with-false-claim-that-sp-leader-kamal-akhtar-thrashed-by-up-police/,Politics
https://www.altnews.in/2-year-old-video-of-a-group-of-boys-harassing-a-girl-in-burqa-shared-as-recent/,Religion
https://www.altnews.in/2011-video-of-japan-tsunami-shared-as-flood-situation-in-china/,News
https://www.altnews.in/2011-video-of-korean-dictator-kim-jong-ils-funeral-shared-as-confirmation-of-kim-jong-un-death/,Media
https://www.altnews.in/2012-video-from-palestinian-girl-tried-to-slap-soldier-shared-as-ukrain-russia-conflict/,Media
https://www.altnews.in/2012-video-shared-with-false-claim-thar-40-thousand-us-soldiers-threw-their-medals-afganistan-iraq/,Politics
https://www.altnews.in/2013-image-of-mexican-mp-protesting-energy-bill-viral-with-misleading-claims/,Society
https://www.altnews.in/2013-images-of-russian-army-soldiers-revived-as-indian-army-soldiers-at-siachen-glacier/,Politics
https://www.altnews.in/2014-image-of-isis-attack-on-iraq-shared-as-attack-on-pakistan-by-taliban/,Politics
https://www.altnews.in/2014-video-of-naga-sadhu-beaten-up-by-sikhs-shared-as-recent-after-aap-victory-in-punjab/,Politics
https://www.altnews.in/2014-video-shared-as-white-house-holding-a-recital-of-hindu-shlokas-for-joe-biden/,Politics
https://www.altnews.in/2016-images-of-clash-in-bjp-party-workers-convention-in-howrah-west-bengal-shared-as-recent/,Politics
https://www.altnews.in/2016-video-of-aimim-leader-waris-pathan-arguing-with-cops-shared-as-recent/,Religion
https://www.altnews.in/2016-video-of-bjp-leader-rajkumar-sainis-blackeing-face-shared-as-recent/,Politics
https://www.altnews.in/2017-image-of-big-pothole-from-ahmedabad-shared-as-uttar-pradesh/,Politics
https://www.altnews.in/2017-video-of-french-president-emmanuel-macron-having-an-egg-thrown-at-his-face-shared-as-recent-protest-against-him/,Politics
https://www.altnews.in/2017-video-of-protest-against-baba-ramdev-at-airport-shared-as-recent/,Politics
https://www.altnews.in/2018-image-of-hussain-water-cooler-at-raipur-station-shared-as-delhi/,Politics
https://www.altnews.in/2018-image-shared-with-false-claim-that-yogi-govt-made-special-arrangement-for-cops-in-navratri-first-time/,Politics
https://www.altnews.in/2018-video-of-a-police-man-beaten-up-by-locals-shared-with-false-claim-of-bareilly-police-beaten-up-by-peaceful-for-challan/,Religion
https://www.altnews.in/2019-video-from-loksabha-election-shared-as-fraud-in-up-by-bjp-members/,Politics
https://www.altnews.in/2019-video-of-a-couple-swimming-in-floodwater-at-home-in-prayagraj-uttar-pradesh-shared-as-delhi-by-congress-leaders/,Politics
https://www.altnews.in/2019-video-of-shiv-sena-members-assaulting-man-shaving-his-head-viral-as-recent/,Politics
https://www.altnews.in/2019-video-shared-as-huge-crowed-gathered-in-footballer-maradonas-funeral/,News
https://www.altnews.in/4-year-video-of-crowed-at-railway-station-shared-as-recent-boriwali-station/,News
https://www.altnews.in/a-morphed-image-of-a-billboard-which-shows-uk-queen-elizabeth-ii-thanking-pm-modi-for-vaccine-supply-to-the-country-viral-with-false-claims/,Politics
